longitude,latitute,COD2023,COD2024,BOD2023,BOD2024
110.379,-7.953,14,317,2,1
110.366,-7.935,9,9,2,2
110.385,-7.898,10,16,3,9
110.414,-7.869,9,166,2,47
110.444,-7.842,25,54,3,26
110.436,-7.836,3,198,1,91
110.388,-7.848,8,19,2,6
110.383,-7.883,3,21,1,5
110.379,-7.863,3,8,1,1
110.375,-7.833,3,24,1,3
110.375,-7.81,3,6,1,2
110.372,-7.804,5,5,2,3
110.37,-7.795,3,163,1,32
110.428,-7.827,21,72,3,26
110.366,-7.892,11,160,2,90
110.355,-7.839,3,10,1,4
110.351,-7.835,3,10,1,5
110.355,-7.799,3,9,1,6
110.356,-7.783,9,10,4,4
110.439,-7.804,7,19,2,8
